Training Log:
step 1/6000 loss=3.4125
step 2/6000 loss=3.4424
step 3/6000 loss=3.5045
step 4/6000 loss=3.4744
step 5/6000 loss=3.5070
step 6/6000 loss=3.3921
step 7/6000 loss=3.4484
step 8/6000 loss=3.4895
step 9/6000 loss=3.4007
Run Log:
Timesteps for transformer:2235
Timesteps for FCFS:2235
Timesteps for SJF:2235
Timesteps for RR:2235
Timesteps for SRTF:2235
Timestep 0: Transformer: -0.00084, FCFS: -0.00046, SJF: -0.01, RR: -0.01, SRTF: -0.00046
Timestep 440: Transformer: -3.16753, FCFS: -3.00033, SJF: -3.28125, RR: -3.26722, SRTF: -3.06554
Timestep 450: Transformer: -3.24203, FCFS: -3.0725300000000004, SJF: -3.35345, RR: -3.34402, SRTF: -3.1430300000000004
Timestep 460: Transformer: -3.31653, FCFS: -3.14473, SJF: -3.4256499999999996, RR: -3.4208199999999995, SRTF: -3.22213
Timestep 470: Transformer: -3.3894200000000003, FCFS: -3.21693, SJF: -3.49785, RR: -3.4976199999999995, SRTF: -3.3005400000000003
Timestep 480: Transformer: -3.46162, FCFS: -3.28913, SJF: -3.5700499999999997, RR: -3.57442, SRTF: -3.3773400000000002
Timestep 490: Transformer: -3.5338200000000004, FCFS: -3.36133, SJF: -3.64225, RR: -3.65122, SRTF: -3.45161
Timestep 500: Transformer: -3.60602, FCFS: -3.43353, SJF: -3.71445, RR: -3.72802, SRTF: -3.52381
Timestep 510: Transformer: -3.63242, FCFS: -3.5057300000000002, SJF: -3.78665, RR: -3.80482, SRTF: -3.59601
Timestep 520: Transformer: -3.7046200000000002, FCFS: -3.57793, SJF: -3.85885, RR: -3.88162, SRTF: -3.6682099999999997
Timestep 530: Transformer: -3.7768200000000003, FCFS: -3.6501300000000003, SJF: -3.93105, RR: -3.95842, SRTF: -3.7404100000000002
Timestep 540: Transformer: -3.84902, FCFS: -3.72233, SJF: -4.0032499999999995, RR: -4.03522, SRTF: -3.81261
Timestep 550: Transformer: -3.9223700000000004, FCFS: -3.7945300000000004, SJF: -4.07545, RR: -4.112019999999999, SRTF: -3.47207
Timestep 560: Transformer: -3.99687, FCFS: -3.8667300000000004, SJF: -4.14765, RR: -4.188820000000001, SRTF: -3.8367999999999998
Timestep 570: Transformer: -4.06953, FCFS: -3.93893, SJF: -4.21985, RR: -4.26562, SRTF: -3.88991
Timestep 580: Transformer: -4.14173, FCFS: -4.01113, SJF: -4.29205, RR: -4.342420000000001, SRTF: -3.9674000000000005
Timestep 590: Transformer: -4.2139299999999995, FCFS: -4.083329999999999, SJF: -4.36425, RR: -4.41922, SRTF: -4.044199999999999
Timestep 600: Transformer: -4.2879700000000005, FCFS: -4.155529999999999, SJF: -4.43645, RR: -4.496020000000001, SRTF: -4.1209999999999996
Timestep 610: Transformer: -4.362470000000001, FCFS: -4.227729999999999, SJF: -4.50865, RR: -4.57282, SRTF: -4.1955
Timestep 620: Transformer: -4.43766, FCFS: -4.29993, SJF: -4.58085, RR: -4.6496200000000005, SRTF: -4.26793
Timestep 630: Transformer: -4.51446, FCFS: -4.2374, SJF: -4.6530499999999995, RR: -4.72642, SRTF: -4.340129999999999
Timestep 640: Transformer: -4.59011, FCFS: -4.3142, SJF: -4.72525, RR: -4.80322, SRTF: -4.412329999999999
Timestep 650: Transformer: -4.66231, FCFS: -4.390999999999999, SJF: -4.79745, RR: -4.88002, SRTF: -4.4845299999999995
Timestep 660: Transformer: -4.73451, FCFS: -4.46596, SJF: -4.86965, RR: -4.9568200000000004, SRTF: -4.556729999999999
Timestep 670: Transformer: -4.80671, FCFS: -4.54023, SJF: -4.94185, RR: -5.033620000000001, SRTF: -4.6289299999999995
Timestep 680: Transformer: -4.87891, FCFS: -4.61243, SJF: -5.01405, RR: -5.11042, SRTF: -4.49107
Timestep 690: Transformer: -4.95111, FCFS: -4.684629999999999, SJF: -5.08625, RR: -5.18722, SRTF: -4.565569999999999
Timestep 700: Transformer: -5.0233099999999995, FCFS: -4.756830000000001, SJF: -5.15845, RR: -5.26402, SRTF: -4.64007
Timestep 710: Transformer: -5.09551, FCFS: -4.82903, SJF: -5.23065, RR: -5.34082, SRTF: -4.714339999999999
Timestep 720: Transformer: -5.1677100000000005, FCFS: -4.90123, SJF: -5.30285, RR: -5.41762, SRTF: -4.78654
Timestep 730: Transformer: -5.23991, FCFS: -4.97343, SJF: -5.37505, RR: -5.49442, SRTF: -4.858739999999999
Timestep 740: Transformer: -5.31211, FCFS: -5.04563, SJF: -5.4472499999999995, RR: -5.57122, SRTF: -4.93094
Timestep 750: Transformer: -5.384309999999999, FCFS: -5.1178300000000005, SJF: -5.519450000000001, RR: -5.64802, SRTF: -5.003139999999999
Timestep 760: Transformer: -5.456510000000001, FCFS: -5.19003, SJF: -5.5916500000000005, RR: -5.72482, SRTF: -5.07534
Timestep 770: Transformer: -5.52871, FCFS: -5.26223, SJF: -5.66385, RR: -5.801620000000001, SRTF: -5.147539999999999
Timestep 780: Transformer: -5.60091, FCFS: -5.33443, SJF: -5.73605, RR: -5.87842, SRTF: -5.21974
Timestep 790: Transformer: -5.673109999999999, FCFS: -5.40663, SJF: -5.808249999999999, RR: -5.955220000000001, SRTF: -5.04845
Timestep 800: Transformer: -5.74531, FCFS: -5.47883, SJF: -5.880450000000001, RR: -6.03202, SRTF: -5.12525
Timestep 810: Transformer: -5.81751, FCFS: -5.55103, SJF: -5.95265, RR: -6.108820000000001, SRTF: -5.20182
Timestep 820: Transformer: -5.88971, FCFS: -5.62323, SJF: -6.02485, RR: -6.18562, SRTF: -5.276319999999999
Timestep 830: Transformer: -5.96191, FCFS: -5.46812, SJF: -6.09705, RR: -6.26242, SRTF: -5.349899999999999
Timestep 840: Transformer: -6.03411, FCFS: -5.542619999999999, SJF: -6.16925, RR: -6.33922, SRTF: -5.4221
Timestep 850: Transformer: -6.10631, FCFS: -5.61712, SJF: -6.24145, RR: -6.41602, SRTF: -5.4943
Timestep 860: Transformer: -6.17851, FCFS: -5.6916199999999995, SJF: -6.31365, RR: -6.492820000000001, SRTF: -5.5665
Timestep 870: Transformer: -6.25071, FCFS: -5.76382, SJF: -6.3858500000000005, RR: -6.5696200000000005, SRTF: -5.638699999999999
Timestep 880: Transformer: -6.32291, FCFS: -5.8360199999999995, SJF: -6.45805, RR: -6.646420000000001, SRTF: -5.7109
Timestep 890: Transformer: -6.39511, FCFS: -5.908219999999999, SJF: -6.53025, RR: -6.72322, SRTF: -5.7831
Timestep 900: Transformer: -6.4673099999999994, FCFS: -5.98042, SJF: -6.60245, RR: -6.80002, SRTF: -5.8553
Timestep 910: Transformer: -6.53951, FCFS: -6.05262, SJF: -6.674650000000001, RR: -6.87682, SRTF: -5.927499999999999
Timestep 920: Transformer: -6.61171, FCFS: -6.12482, SJF: -6.74685, RR: -6.95362, SRTF: -5.9997
Timestep 930: Transformer: -6.68391, FCFS: -6.197019999999999, SJF: -6.81905, RR: -7.03042, SRTF: -6.071899999999999
Timestep 940: Transformer: -6.75611, FCFS: -6.269219999999999, SJF: -6.891249999999999, RR: -7.10722, SRTF: -6.1441
Timestep 950: Transformer: -6.828309999999999, FCFS: -6.34142, SJF: -6.963450000000001, RR: -7.184019999999999, SRTF: -6.2162999999999995
Timestep 960: Transformer: -6.900510000000001, FCFS: -6.41362, SJF: -7.03565, RR: -7.260820000000001, SRTF: -6.2885
Timestep 970: Transformer: -6.97271, FCFS: -6.4858199999999995, SJF: -7.10785, RR: -7.33762, SRTF: -6.3607
Timestep 980: Transformer: -7.04491, FCFS: -6.558019999999999, SJF: -7.18005, RR: -7.414420000000001, SRTF: -6.432899999999999
